x,y,z,phi,theta,psi
1.9056e-05,-0.0016509,-2.4651e-05,0.5873,0.0063709,-0.0022139
1.9255e-05,-0.0016698,-2.5499e-05,0.5945,0.0064419,-0.0022209
1.9452e-05,-0.0016886,-2.6363e-05,0.60166,0.0065123,-0.0022271
1.9647e-05,-0.0017072,-2.7244e-05,0.60877,0.0065821,-0.0022327
1.9839e-05,-0.0017257,-2.8141e-05,0.61583,0.0066512,-0.0022377
2.003e-05,-0.0017439,-2.9055e-05,0.62285,0.0067198,-0.002242
2.0218e-05,-0.0017621,-2.9985e-05,0.62982,0.0067877,-0.0022457
2.0405e-05,-0.00178,-3.0932e-05,0.63675,0.006855,-0.0022487
2.0589e-05,-0.0017978,-3.1896e-05,0.64363,0.0069217,-0.0022511
2.0772e-05,-0.0018155,-3.2877e-05,0.65046,0.0069879,-0.0022529
2.0953e-05,-0.001833,-3.3875e-05,0.65725,0.0070534,-0.002254
2.1132e-05,-0.0018503,-3.4889e-05,0.66399,0.0071184,-0.0022546
2.1309e-05,-0.0018675,-3.5921e-05,0.67069,0.0071828,-0.0022545
2.1484e-05,-0.0018845,-3.6969e-05,0.67735,0.0072466,-0.0022539
2.1657e-05,-0.0019014,-3.8034e-05,0.68396,0.0073099,-0.0022526
2.1828e-05,-0.0019181,-3.9117e-05,0.69053,0.0073726,-0.0022508
2.1998e-05,-0.0019347,-4.0216e-05,0.69705,0.0074347,-0.0022484
2.2166e-05,-0.0019511,-4.1332e-05,0.70353,0.0074963,-0.0022454
2.2332e-05,-0.0019674,-4.2465e-05,0.70997,0.0075574,-0.0022418
2.2497e-05,-0.0019835,-4.3615e-05,0.71636,0.0076179,-0.0022377
2.2659e-05,-0.0019995,-4.4782e-05,0.72272,0.0076779,-0.0022329
2.282e-05,-0.0020154,-4.5966e-05,0.72903,0.0077374,-0.0022277
2.298e-05,-0.0020311,-4.7167e-05,0.73529,0.0077963,-0.0022219
2.3138e-05,-0.0020466,-4.8385e-05,0.74152,0.0078548,-0.0022155
2.3294e-05,-0.002062,-4.962e-05,0.7477,0.0079127,-0.0022086
2.3449e-05,-0.0020773,-5.0872e-05,0.75385,0.0079701,-0.0022012
2.3602e-05,-0.0020924,-5.2141e-05,0.75995,0.008027,-0.0021933
2.3753e-05,-0.0021074,-5.3427e-05,0.76601,0.0080834,-0.0021848
2.3903e-05,-0.0021223,-5.473e-05,0.77203,0.0081394,-0.0021758
2.4052e-05,-0.002137,-5.6049e-05,0.77801,0.0081948,-0.0021663
2.4198e-05,-0.0021516,-5.7386e-05,0.78395,0.0082498,-0.0021563
2.4344e-05,-0.002166,-5.8739e-05,0.78986,0.0083043,-0.0021457
2.4488e-05,-0.0021803,-6.011e-05,0.79572,0.0083583,-0.0021347
2.4631e-05,-0.0021945,-6.1497e-05,0.80154,0.0084118,-0.0021232
2.4772e-05,-0.0022086,-6.29e-05,0.80732,0.0084649,-0.0021112
2.4912e-05,-0.0022225,-6.4321e-05,0.81307,0.0085176,-0.0020987
2.505e-05,-0.0022363,-6.5758e-05,0.81877,0.0085697,-0.0020858
2.5187e-05,-0.0022499,-6.7212e-05,0.82444,0.0086215,-0.0020723
2.5323e-05,-0.0022635,-6.8682e-05,0.83007,0.0086728,-0.0020584
2.5457e-05,-0.0022769,-7.0169e-05,0.83566,0.0087236,-0.0020441
2.5591e-05,-0.0022901,-7.1673e-05,0.84122,0.008774,-0.0020292
2.5722e-05,-0.0023033,-7.3193e-05,0.84674,0.008824,-0.0020139
2.5853e-05,-0.0023163,-7.473e-05,0.85222,0.0088736,-0.0019982
2.5982e-05,-0.0023292,-7.6283e-05,0.85766,0.0089227,-0.001982
2.6111e-05,-0.002342,-7.7852e-05,0.86307,0.0089715,-0.0019654
2.6237e-05,-0.0023547,-7.9438e-05,0.86844,0.0090198,-0.0019484
2.6363e-05,-0.0023672,-8.104e-05,0.87377,0.0090677,-0.0019309
2.6488e-05,-0.0023796,-8.2659e-05,0.87907,0.0091152,-0.001913
2.6611e-05,-0.0023919,-8.4293e-05,0.88434,0.0091623,-0.0018947
2.6733e-05,-0.0024041,-8.5944e-05,0.88956,0.009209,-0.0018759
2.6854e-05,-0.0024161,-8.761e-05,0.89476,0.0092553,-0.0018568
2.6974e-05,-0.0024281,-8.9293e-05,0.89991,0.0093012,-0.0018372
2.7093e-05,-0.0024399,-9.0992e-05,0.90504,0.0093467,-0.0018172
2.7211e-05,-0.0024516,-9.2706e-05,0.91012,0.0093919,-0.0017969
2.7328e-05,-0.0024632,-9.4437e-05,0.91518,0.0094367,-0.0017761
2.7443e-05,-0.0024747,-9.6183e-05,0.9202,0.0094811,-0.0017549
2.7558e-05,-0.0024861,-9.7945e-05,0.92518,0.0095251,-0.0017334
2.7671e-05,-0.0024973,-9.9722e-05,0.93014,0.0095688,-0.0017115
2.7784e-05,-0.0025085,-0.00010152,0.93505,0.0096121,-0.0016891
2.7896e-05,-0.0025195,-0.00010332,0.93994,0.0096551,-0.0016665
2.8006e-05,-0.0025304,-0.00010515,0.94479,0.0096977,-0.0016434
2.8116e-05,-0.0025413,-0.00010699,0.94961,0.0097399,-0.00162
2.8225e-05,-0.002552,-0.00010884,0.9544,0.0097818,-0.0015962
2.8332e-05,-0.0025626,-0.00011071,0.95915,0.0098234,-0.001572
2.8439e-05,-0.0025731,-0.0001126,0.96388,0.0098646,-0.0015475
2.8545e-05,-0.0025835,-0.0001145,0.96857,0.0099055,-0.0015227
2.865e-05,-0.0025938,-0.00011641,0.97323,0.0099461,-0.0014975
2.8754e-05,-0.002604,-0.00011834,0.97785,0.0099863,-0.0014719
2.8858e-05,-0.002614,-0.00012029,0.98245,0.010026,-0.001446
2.896e-05,-0.002624,-0.00012225,0.98701,0.010066,-0.0014198
2.9062e-05,-0.0026339,-0.00012423,0.99155,0.010105,-0.0013933
2.9162e-05,-0.0026437,-0.00012622,0.99605,0.010144,-0.0013664
2.9262e-05,-0.0026534,-0.00012822,1.0005,0.010183,-0.0013392
2.9361e-05,-0.0026629,-0.00013024,1.005,0.010221,-0.0013116
2.946e-05,-0.0026724,-0.00013227,1.0094,0.010259,-0.0012838
2.9557e-05,-0.0026818,-0.00013432,1.0138,0.010297,-0.0012556
2.9654e-05,-0.0026911,-0.00013638,1.0181,0.010334,-0.0012271
2.975e-05,-0.0027003,-0.00013846,1.0224,0.010371,-0.0011983
2.9845e-05,-0.0027094,-0.00014055,1.0267,0.010408,-0.0011692
2.994e-05,-0.0027184,-0.00014265,1.031,0.010445,-0.0011398
3.0033e-05,-0.0027273,-0.00014477,1.0352,0.010481,-0.0011102
3.0127e-05,-0.0027361,-0.00014691,1.0394,0.010517,-0.0010802
3.0219e-05,-0.0027448,-0.00014905,1.0436,0.010552,-0.0010499
3.0311e-05,-0.0027534,-0.00015121,1.0478,0.010588,-0.0010193
3.0402e-05,-0.002762,-0.00015339,1.0519,0.010623,-0.00098846
3.0492e-05,-0.0027704,-0.00015557,1.056,0.010658,-0.00095733
3.0582e-05,-0.0027788,-0.00015778,1.06,0.010692,-0.00092591
3.0671e-05,-0.002787,-0.00015999,1.0641,0.010727,-0.00089422
3.0759e-05,-0.0027952,-0.00016222,1.0681,0.010761,-0.00086226
3.0847e-05,-0.0028033,-0.00016446,1.0721,0.010795,-0.00083003
3.0934e-05,-0.0028113,-0.00016672,1.076,0.010828,-0.00079753
3.1021e-05,-0.0028192,-0.00016898,1.08,0.010862,-0.00076477
3.1107e-05,-0.002827,-0.00017126,1.0839,0.010895,-0.00073175
