0,0,0,0,0,0
7.4323e-09,-1.2012e-06,-4.0921e-09,0.00039616,2.791e-06,-2.382e-06
6.8566e-08,-4.6947e-06,-7.8195e-09,0.0015562,2.1295e-05,-9.0858e-06
1.3314e-07,-1.0364e-05,-2.0887e-08,0.0034537,4.2231e-05,-2.0232e-05
2.4537e-07,-1.8148e-05,-3.3798e-08,0.0060684,7.7183e-05,-3.5403e-05
3.632e-07,-2.7981e-05,-5.4924e-08,0.0093794,0.00011506,-5.4715e-05
5.233e-07,-3.9801e-05,-7.6396e-08,0.013367,0.00016545,-7.7777e-05
6.9058e-07,-5.3544e-05,-1.0522e-07,0.018011,0.00021911,-0.00010467
8.954e-07,-6.9152e-05,-1.3492e-07,0.023291,0.00028397,-0.00013502
1.1085e-06,-8.6561e-05,-1.7139e-07,0.029188,0.0003523,-0.00016888
1.355e-06,-0.00010571,-2.0934e-07,0.035683,0.00043069,-0.0002059
1.6104e-06,-0.00012655,-2.5376e-07,0.042756,0.00051266,-0.00024611
1.8955e-06,-0.00014901,-3.0039e-07,0.05039,0.00060366,-0.00028919
2.1899e-06,-0.00017304,-3.5369e-07,0.058565,0.00069828,-0.00033511
2.5109e-06,-0.00019859,-4.1141e-07,0.067264,0.00080101,-0.00038357
2.8412e-06,-0.00022559,-4.789e-07,0.076468,0.00090734,-0.00043448
3.1952e-06,-0.000254,-5.5528e-07,0.086162,0.001021,-0.00048754
3.5586e-06,-0.00028376,-6.457e-07,0.096327,0.0011381,-0.00054265
3.943e-06,-0.00031483,-7.5012e-07,0.10695,0.0012619,-0.00059951
4.3366e-06,-0.00034714,-8.7351e-07,0.118,0.001389,-0.000658
4.7489e-06,-0.00038066,-1.0165e-06,0.12948,0.0015221,-0.00071786
5.17e-06,-0.00041532,-1.1839e-06,0.14137,0.0016585,-0.00077894
5.6079e-06,-0.00045109,-1.3769e-06,0.15364,0.0018002,-0.00084098
6.0541e-06,-0.00048791,-1.6e-06,0.16629,0.0019449,-0.00090384
6.5152e-06,-0.00052574,-1.855e-06,0.1793,0.0020945,-0.00096728
6.9841e-06,-0.00056452,-2.1462e-06,0.19265,0.002247,-0.0010311
7.4662e-06,-0.00060423,-2.4755e-06,0.20633,0.0024039,-0.0010952
7.9556e-06,-0.0006448,-2.8472e-06,0.22032,0.0025634,-0.0011593
8.4568e-06,-0.0006862,-3.2634e-06,0.23462,0.0027268,-0.0012232
8.9647e-06,-0.00072839,-3.7282e-06,0.24919,0.0028928,-0.0012868
9.4829e-06,-0.00077132,-4.2439e-06,0.26404,0.0030621,-0.0013499
1.0007e-05,-0.00081495,-4.8142e-06,0.27915,0.0032339,-0.0014123
1.0541e-05,-0.00085924,-5.4416e-06,0.2945,0.0034087,-0.0014738
1.108e-05,-0.00090416,-6.1296e-06,0.31008,0.0035856,-0.0015344
1.1627e-05,-0.00094966,-6.8806e-06,0.32588,0.0037652,-0.0015937
1.2179e-05,-0.0009957,-7.6979e-06,0.34188,0.0039468,-0.0016518
1.2738e-05,-0.0010422,-8.584e-06,0.35808,0.0041307,-0.0017083
1.3301e-05,-0.0010893,-9.5418e-06,0.37445,0.0043164,-0.0017633
1.3871e-05,-0.0011367,-1.0574e-05,0.391,0.0045042,-0.0018165
1.4444e-05,-0.0011846,-1.1682e-05,0.4077,0.0046935,-0.0018678
1.5023e-05,-0.0012328,-1.287e-05,0.42454,0.0048847,-0.0019172
1.5605e-05,-0.0012814,-1.414e-05,0.44152,0.0050772,-0.0019644
1.6192e-05,-0.0013303,-1.5493e-05,0.45862,0.0052712,-0.0020094
1.6781e-05,-0.0013794,-1.6931e-05,0.47583,0.0054665,-0.002052
1.7374e-05,-0.0014288,-1.8458e-05,0.49314,0.005663,-0.0020922
1.797e-05,-0.0014784,-2.0074e-05,0.51055,0.0058606,-0.0021299
1.8569e-05,-0.0015281,-2.1781e-05,0.52803,0.0060592,-0.002165
1.917e-05,-0.0015781,-2.3581e-05,0.54558,0.0062587,-0.0021973
1.9773e-05,-0.0016281,-2.5476e-05,0.56319,0.006459,-0.0022269
2.0378e-05,-0.0016783,-2.7466e-05,0.58086,0.0066601,-0.0022536
2.0986e-05,-0.0017285,-2.9554e-05,0.59856,0.0068618,-0.0022774
2.1594e-05,-0.0017788,-3.1739e-05,0.6163,0.007064,-0.0022982
2.2204e-05,-0.001829,-3.4024e-05,0.63406,0.0072667,-0.002316
2.2815e-05,-0.0018793,-3.6408e-05,0.65184,0.0074698,-0.0023306
2.3427e-05,-0.0019296,-3.8893e-05,0.66962,0.0076732,-0.0023421
2.4039e-05,-0.0019798,-4.148e-05,0.6874,0.0078768,-0.0023505
2.4652e-05,-0.0020299,-4.4168e-05,0.70517,0.0080806,-0.0023556
2.5266e-05,-0.00208,-4.6958e-05,0.72292,0.0082844,-0.0023575
2.588e-05,-0.0021299,-4.985e-05,0.74065,0.0084883,-0.002356
2.6494e-05,-0.0021797,-5.2844e-05,0.75834,0.0086921,-0.0023513
2.7107e-05,-0.0022293,-5.5941e-05,0.77599,0.0088958,-0.0023433
2.7721e-05,-0.0022788,-5.9141e-05,0.7936,0.0090993,-0.0023319
2.8334e-05,-0.0023281,-6.2442e-05,0.81115,0.0093025,-0.0023172
2.8947e-05,-0.0023771,-6.5844e-05,0.82864,0.0095054,-0.0022991
2.9559e-05,-0.0024259,-6.9348e-05,0.84607,0.009708,-0.0022777
3.017e-05,-0.0024745,-7.2953e-05,0.86342,0.0099101,-0.002253
3.0781e-05,-0.0025228,-7.6657e-05,0.88069,0.010112,-0.0022248
3.139e-05,-0.0025709,-8.0461e-05,0.89788,0.010313,-0.0021934
3.1998e-05,-0.0026186,-8.4363e-05,0.91497,0.010513,-0.0021586
3.2605e-05,-0.0026661,-8.8363e-05,0.93197,0.010713,-0.0021205
3.321e-05,-0.0027132,-9.2458e-05,0.94887,0.010912,-0.0020792
3.3814e-05,-0.00276,-9.665e-05,0.96566,0.01111,-0.0020345
3.4417e-05,-0.0028064,-0.00010094,0.98234,0.011307,-0.0019866
3.5018e-05,-0.0028524,-0.00010531,0.9989,0.011504,-0.0019355
3.5617e-05,-0.0028981,-0.00010978,1.0153,0.0117,-0.0018811
3.6214e-05,-0.0029434,-0.00011434,1.0317,0.011894,-0.0018236
3.6809e-05,-0.0029883,-0.00011899,1.0478,0.012088,-0.001763
